participant_id,condition,updated_at_pre,A_1,A_2,A_3,A_4,A_5,A_6,A_7,aim,strategy,preset_id_pre,condition_label_pre,updated_at_post,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,preset_id_post,param_other,param_influence,interference_notes,expectation_vs_outcome,condition_label_post,_t_pre,_t_post,_t_any,block_position
4939Z,B,2026-01-06T19:37:39.226339+00:00,6,6,5,5,4,6,3,Stability/clarity,I was aiming for finding pleasant melodies/harmonic movement by individual tones on and off together. I was not focusing on colour matching tones but instead relied on a mixture of trial and error and expectations of what tones would match based on music theory/harmony knowledge.,4939Z_B_20260106_193739,Audio-only,2026-01-06T19:53:06.203242+00:00,6,5,6,6,3,6,3,6,2,7,1,6,4939Z_B_20260106_193739,,"['Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Life Length', 'Scale']","It felt like at times of low sound activity there were more lights active than expected, although as I said, this was a positive in this instance rather than a negative contributor to experiencing the piece. It was less clear why small changes in scale tones used led to large cascades in near-neighbour activation. Essentially it felt like a set of stable ('solid') states separated by high disorganisation in the states ('gas/liquid' states).","The light modality was more organised than I expected for the majority of the piece, revealing repeated spatial patterns when tones had more pleasing scale intervals. It felt like the pattern of light placements added an extra dimension/dynamicism to the piece, as they shifted between ordered spatially repeating patterns, separated by times of high activity/randomness that corresponded to dissonance and (at those times) overwhelming sound arrangements. 
The spatial extent of the light patterns (how many lights were active at any one time) were surprising given how few notes were playing (between shifts) - this actually added to the experience as one note playing activated multiple lights it created something more interesting to look at.",Audio-only,2026-01-06 19:37:39.226339+00:00,2026-01-06 19:53:06.203242+00:00,2026-01-06 19:53:06.203242+00:00,3
4939Z,C,2026-01-06T18:47:29.420792+00:00,5,4,5,3,6,6,3,Stability/clarity,"Find set of parameters that resulted in 'the right' amount of sounds being produced in a given interval
Initially start with a tone set that I thought would work (based on sounds). Change active tones by removing and adding nearby. During task I was influenced by which sounds to activate/deactivate based on the colour combinations being displayed - aiming for hue-similar colours to be simultaneously active.",4939Z_C_20260106_184729,Audio+Visual,2026-01-06T19:01:05.884744+00:00,6,3,5,6,5,2,4,7,6,5,5,6,4939Z_C_20260106_184729,Set an initial set of parameters giving rhythmic pattern that felt the right proportion of 'busy' and then changed scale notes.,"['Max Population', 'Min Population', 'Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Scale']",There were moments (when reviewing the piece) when I was surprised by disonance in note tones despite colour combinations produced.,"The result was suprisingly interesting/mesmerising, I could feel my brain try to work out the pattern as well as surprise/'delight' as new patterns of chord tones and colour combinations emerged and changed throughout the piece. The colours on the video were not as easily discernable as when looking at the physical instrument. As I am a musician - my association felt more like light was accompanying the sound, although with longer exposure to the instrument this may change.",Audio+Visual,2026-01-06 18:47:29.420792+00:00,2026-01-06 19:01:05.884744+00:00,2026-01-06 19:01:05.884744+00:00,1
5220H,A,2026-01-05T19:37:42.154093+00:00,6,7,6,4,6,3,7,Complexity/energy,"I wanted to make it as light as possible to start then bring the light out. I really liked some of the more equal patterns that I/we created. I wanted to have another swing at it, I felt pressure to do something good in the alloted time, where as I didnt feel that in the practice and at the end I liked what I did. ",5220H_A_20260105_193742,Visual-only,2026-01-05T19:56:10.553650+00:00,2,6,6,7,1,1,2,6,6,4,7,1,5220H_A_20260105_193742,,"['Rate', 'Max Neighbours', 'Life Length']",no,"I thought it would sound a bit more chaotic and dissonant, I liked it. But it didn't sound like what I thought it would. I like the bits where I took all the lights out and brought them back in. It was more intense for me being able to hear the sound as well. it ended abuptly, given another chance I feel like i might be able to fade the lights out, but maybe not.",Visual-only,2026-01-05 19:37:42.154093+00:00,2026-01-05 19:56:10.553650+00:00,2026-01-05 19:56:10.553650+00:00,1
5220H,B,2026-01-05T20:27:28.074727+00:00,3,3,3,6,3,2,6,Complexity/energy,"I didnt really have a plan kinda just wanted it to sound nice, I found it quick hard to get what was going on. defo felt somthing missing. I found it quite hard",5220H_B_20260105_202728,Audio-only,2026-01-05T20:33:16.409195+00:00,6,6,6,6,2,2,2,7,2,3,4,2,5220H_B_20260105_202728,,"['Rate', 'Min Neighbours', 'Max Neighbours']",no,"It was better than I thought, seeing the visual maybe adds something to it. would have like to end it better, could hacve stopped a little earlier. Without the visuals i felt less in control ",Audio-only,2026-01-05 20:27:28.074727+00:00,2026-01-05 20:33:16.409195+00:00,2026-01-05 20:33:16.409195+00:00,3
5220H,C,2026-01-05T20:09:17.631926+00:00,6,4,5,5,5,2,7,A mix / unsure,I wanted it a bit dissonaty to start with and then more harmonic at the end then fade out. I made this up as i went along,5220H_C_20260105_200917,Audio+Visual,2026-01-05T20:15:23.362018+00:00,6,6,6,6,2,2,4,4,6,5,2,6,5220H_C_20260105_200917,,"['Rate', 'Life Length', 'Scale']",no,"I well happyt with that, kinda felt like i was playing it more., For me sound outways visuals and I prefer to control them.",Audio+Visual,2026-01-05 20:09:17.631926+00:00,2026-01-05 20:15:23.362018+00:00,2026-01-05 20:15:23.362018+00:00,2
5344J,A,2026-01-05T17:11:36.106873+00:00,3,6,3,5,6,6,6,A mix / unsure,I was trying to create a repating chaotic pattern ,5344J_A_20260105_171136,Visual-only,2026-01-05T17:19:10.578332+00:00,4,7,6,7,1,1,5,7,2,6,7,1,5344J_A_20260105_171136,,"['Rate', 'Min Neighbours', 'Max Neighbours']",,Having watched the video i would do it differntly and inlcude miore light tones,Visual-only,2026-01-05 17:11:36.106873+00:00,2026-01-05 17:19:10.578332+00:00,2026-01-05 17:19:10.578332+00:00,1
5344J,B,2026-01-05T17:30:52.684456+00:00,6,6,5,4,6,4,6,Stability/clarity,start with a slow tempo and build up to crecendo,5344J_B_20260105_173052,Audio-only,2026-01-05T17:35:47.033625+00:00,7,6,7,7,2,5,3,6,2,5,1,1,5344J_B_20260105_173052,,"['Rate', 'Loop On/Off', 'Scale']",,There were less lights than I was expecting to see lit at once ,Audio-only,2026-01-05 17:30:52.684456+00:00,2026-01-05 17:35:47.033625+00:00,2026-01-05 17:35:47.033625+00:00,2
5344J,C,2026-01-05T17:49:59.338517+00:00,7,7,7,7,7,5,7,Complexity/energy,aim was to build with culsters of light and tempo then reduce at intervals,5344J_C_20260105_174959,Audio+Visual,2026-01-05T17:53:32.071358+00:00,6,5,6,6,2,2,4,4,5,5,6,1,5344J_C_20260105_174959,,"['Loop On/Off', 'Life Length', 'Scale']",,,Audio+Visual,2026-01-05 17:49:59.338517+00:00,2026-01-05 17:53:32.071358+00:00,2026-01-05 17:53:32.071358+00:00,3
5747E,A,2026-01-09T15:36:59.009305+00:00,4,5,4,5,4,2,2,A mix / unsure,,5747E_A_20260109_153659,Visual-only,2026-01-09T15:45:07.387908+00:00,6,5,5,5,2,2,4,7,1,4,5,1,5747E_A_20260109_153659,,"['Rate', 'Loop Length', 'Life Length']","I was quite suprised in how the sound/visual/speed fitted together, as I has no idea how it would sound when I was making it
","quite surprising - much better than i thought it would be - didnt have th urge to turn it off after 15seconds, the connection between the audio and visuals isnt in my head - i had no idea how it was going to turn out but still quite please with how turned out",Visual-only,2026-01-09 15:36:59.009305+00:00,2026-01-09 15:45:07.387908+00:00,2026-01-09 15:45:07.387908+00:00,2
5747E,B,2026-01-09T15:58:02.468160+00:00,6,3,4,4,4,2,2,A mix / unsure,,5747E_B_20260109_155802,Audio-only,2026-01-09T16:03:51.631122+00:00,3,2,5,4,4,2,4,6,2,4,2,1,5747E_B_20260109_155802,,"['Rate', 'Loop Length', 'Life Length']",I found the audio more interesting/coherent than the visuals,"No idea! On viewing, I felt the visuals were a bit sparse, but the sound was spacious
",Audio-only,2026-01-09 15:58:02.468160+00:00,2026-01-09 16:03:51.631122+00:00,2026-01-09 16:03:51.631122+00:00,3
5747E,C,2026-01-09T15:15:43.909699+00:00,6,5,4,5,6,1,5,Stability/clarity,,5747E_C_20260109_151543,Audio+Visual,2026-01-09T15:23:34.107590+00:00,4,6,6,6,2,2,4,4,4,2,4,1,5747E_C_20260109_151543,,"['Rate', 'Life Length', 'Scale']","not really - would need to play it more, it might do, ","not particularly - at the beginning i thought it was a bit boring but when it got into the different notes and the speed i did rather like it - don't think i could reproduce it ever as its not in my head, not surre sure that i could identify it from a bunch of the other. i wanted to be able to get the ending to resonate and tail off more",Audio+Visual,2026-01-09 15:15:43.909699+00:00,2026-01-09 15:23:34.107590+00:00,2026-01-09 15:23:34.107590+00:00,1
6770L,A,2026-01-07T14:53:01.379398+00:00,7,6,6,6,7,4,6,,thinking about an arc - building a crescendo into chaos ,6770L_A_20260107_145301,Visual-only,2026-01-07T15:05:17.803827+00:00,5,2,5,4,1,1,3,1,5,3,7,2,6770L_A_20260107_145301,,"['Rate', 'Loop On/Off', 'Loop Length', 'Life Length']",because im new to the tool i dont feel that i can get frustrated with it doing or not doing what i want it to - my exectations of the tool are still forming ecasue im still learning ,"focused on the interface / controls more than the panels, which made the outcome surprising, specifically durations of the transitions and shifts felt slower - feel like i was controlling more on the interface that on the panel - in my head ther was more softness and fluidity beween the states of change between diminuendo and crescendo as thats what was happening on the interface, however the reality was quite different",Visual-only,2026-01-07 14:53:01.379398+00:00,2026-01-07 15:05:17.803827+00:00,2026-01-07 15:05:17.803827+00:00,1
6770L,B,2026-01-07T15:20:25.361976+00:00,6,7,5,6,5,6,7,,"a differnet game - brain shift not seeing any visuals - but didnt take long to adapt and get into the sounds world. as soon as the visuals wernt there i really did notice a shift in my engament comapered with audio and visual . really thinking about texture and desity, looping was fundamental, starting wth basic, empty loop, and allowing things to quite slowy become randomised to try and not let go of the loop, keeping it sparse, and then come back to another loop - musical container, some sense of predicatability, how would you make an audience feel safe in this sound - felt like a repetition is how that could be acheived.",6770L_B_20260107_152025,Audio-only,2026-01-07T15:30:57.204060+00:00,7,7,7,6,1,1,6,7,6,4,1,7,6770L_B_20260107_152025,,"['Max Population', 'Rate', 'Loop On/Off', 'Loop Length', 'Life Length', 'Scale']",no,"i had no expecaton of what the visulas should be - but when i saw it it was so beautiful, in a way that i wasnt aware of the opposite way round (previous block visual to audio reveal) in focusing on the visuals i wasnt able to achieve waht i wanted, but focussing on the sound world i was abel to acheive what i wanted. hence the frustration - when the system didnt do what i wanted to do, it was not surprising that the visuals where also displeaseing at that moment.",Audio-only,2026-01-07 15:20:25.361976+00:00,2026-01-07 15:30:57.204060+00:00,2026-01-07 15:30:57.204060+00:00,2
6770L,C,2026-01-07T15:45:34.856389+00:00,7,3,5,6,6,3,5,,"felt more at ease in not having an artisitic plan - i also have a phrase in my head - there something like a collaboration working with the instrumennt, more acceptance, a level of curiosity not trying to control it as much, had to remind myself to keep looking at the visuals, but i have mush more of an affinity with sound and that felt obvious to me. found it really fun, noticing my personal preferneces and happy to lean in to them, , feeling like personal voice come through",6770L_C_20260107_154534,Audio+Visual,2026-01-07T15:53:50.331995+00:00,4,7,7,7,1,1,4,4,5,5,7,7,6770L_C_20260107_154534,,"['Rate', 'Loop On/Off', 'Loop Length', 'Life Length', 'Scale']",no,"felt super locked into it - progression from audio to video to both. having no set idea of what i wanted to create, felt most creatively satisfied with this one, collaboration and acceptance of ewhat happened - th instrument was able to give me some ideas that were interesting, less latched on to my own creation and able to work along side the tool. something intersting about having created the the two modalities together - on the rewatch i wasnt looking out for mismatches tso could really lock into it  ",Audio+Visual,2026-01-07 15:45:34.856389+00:00,2026-01-07 15:53:50.331995+00:00,2026-01-07 15:53:50.331995+00:00,3
7974C,A,2026-01-07T18:31:25.003301+00:00,6,6,6,5,4,2,5,Stability/clarity,"I could see a relationship between s few chords and the visual patterns they made, and hoped to progress through these - vertical lines, down right diagonals, clusters of 5. Some attempt to change the pace in an arc.",7974C_A_20260107_183124,Visual-only,2026-01-07T18:47:12.018113+00:00,2,2,3,4,4,3,1,6,5,2,7,1,7974C_A_20260107_183124,,"['Rate', 'Life Length', 'Scale']","The visual pattern did not match any auditory chonchordancy / harmony in any way that I would have predicted - they patterns of visuals and audio seem very separate. In addition, the pure tone perhaps meant that I could not hear the full complex nature of the sound that was clearly present and visible - perhaps because different octaves of the same note starting at the same time sounded as one. I could hear flurries of consecutive notes and perhaps different notes that coincided. I would be very interested to hear the outcome if these notes were more distinguishable, and likely would produce a much less busy piece!",The business of the sound did not seem to match the pattern or crowqding of the visuals. A number of sparse visuals sounded as busy as a previously very active visual. The visual patterning seemed to match dischordant sounds. and in some cases vice versa - a pleasant sound matching no visual pattern. A big mismatch overall.,Visual-only,2026-01-07 18:31:25.003301+00:00,2026-01-07 18:47:12.018113+00:00,2026-01-07 18:47:12.018113+00:00,2
7974C,B,2026-01-07T17:58:52.403656+00:00,4,6,4,2,6,3,3,A mix / unsure,I aimed to draw from a longer/slower movement to something more frenetic then settle again. There appeared to be a two note combinations that produced scattershot bursts and I wanted to swap in and out of one.,7974C_B_20260107_175852,Audio-only,2026-01-07T18:12:29.371521+00:00,5,2,4,5,3,2,1,5,6,3,2,1,7974C_B_20260107_175852,,"['Rate', 'Life Length', 'Scale']","THe visual display felt much more crowded but less chaotic  - more structure perhaps? I was surprised by the lines runnig across the deck, and at one point there was a visual walk around the deck that I did not expect and did not hear in the sound whilst it was happening.","The visuals had a greater range of dense to sparse, and a greater range of patterning than expected. It seems like there are more rules or instances of notes visually than aurally. The visuals felt more graspable than my recollection of my control of the sounds but this might be reflection vs action.",Audio-only,2026-01-07 17:58:52.403656+00:00,2026-01-07 18:12:29.371521+00:00,2026-01-07 18:12:29.371521+00:00,1
7974C,C,2026-01-07T19:03:42.252726+00:00,5,7,6,4,5,4,5,Complexity/energy,"Aiming to oscillate between fullnes/complexity and simplicity/sparseness, but by different means - on one side using the life span / rate / neighbourhood rules, on the other side using the effect of harmonies and note availability.",7974C_C_20260107_190342,Audio+Visual,2026-01-07T19:14:09.083073+00:00,6,2,6,2,4,2,4,4,6,2,7,5,7974C_C_20260107_190342,,"['Rate', 'Life Length', 'Scale']","I am beginning to see why having neighbouring notes available results in simple repeating patterns and also dischordant sounds, and why having more harmony constrains the visuals under some game of life conditions, something about having the notes far enough away from each other meaning they are poor / unrelated neighbours. I think if I had better music theory I would understand this differently.","Less obvious visual structure than I expected but a stronger match between what I planned and what happened, and I feel like I am beginning to see a different and less obvious visual structure and how that relates to the sounds/notes. The two modalities are starting to feel linked in a way I didn't experience before. I had some inkling of this while playing but could see some impacts more clearly and unexpectedly in the review.",Audio+Visual,2026-01-07 19:03:42.252726+00:00,2026-01-07 19:14:09.083073+00:00,2026-01-07 19:14:09.083073+00:00,3
