id,Csharp,Dsharp,Z,Fsharp,Gsharp,Asharp,C,D,E,F,G,A,B,timestamp,chord,espId
62,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:20:44,1,centre
63,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:21:07,1,centre
64,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:21:13,1,centre
65,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:21:23,1,centre
66,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:21:28,1,centre
67,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:21:44,1,centre
68,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:21:50,1,centre
69,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:22:00,1,centre
70,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:22:05,1,centre
71,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:22:19,1,centre
72,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:22:25,1,centre
73,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:22:35,1,centre
74,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:22:46,1,centre
75,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:22:52,1,centre
76,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:23:02,1,centre
77,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:23:07,1,centre
78,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:23:29,1,centre
79,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:23:39,1,centre
80,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:23:44,1,centre
81,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:29:40,1,centre
82,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:29:50,1,centre
83,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:29:55,1,centre
84,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:30:59,1,centre
85,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:31:09,1,centre
86,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:31:14,1,centre
87,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:31:40,1,centre
88,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:31:50,1,centre
89,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:31:55,1,centre
90,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:31:58,1,centre
91,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:32:08,1,centre
92,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:32:13,1,centre
93,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:39:07,1,centre
94,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:39:12,1,centre
95,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:39:20,1,centre
96,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:39:30,1,centre
97,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:39:35,1,centre
98,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:39:52,1,centre
99,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:40:02,1,centre
100,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:40:07,1,centre
101,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:47:46,1,centre
102,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:47:46,1,left
103,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:47:46,1,right
104,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:47:51,1,centre
105,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:47:51,1,left
106,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:47:51,1,right
107,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:11,1,centre
108,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:48:11,1,centre
109,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:16,1,centre
110,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:16,1,left
111,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:16,1,right
112,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:48:21,1,centre
113,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:48:21,1,left
114,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:48:21,1,right
115,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:24,1,centre
116,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:24,1,left
117,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:24,1,right
118,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:48:29,1,centre
119,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:48:29,1,left
120,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:48:29,1,right
121,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:41,1,centre
122,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:48:41,1,centre
123,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:49,1,centre
124,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:48:49,1,centre
125,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:56,1,centre
126,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:56,1,left
127,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:48:56,1,right
128,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:49:01,1,centre
129,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:49:01,1,left
130,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:49:01,1,right
131,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:49:21,1,centre
132,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:49:21,1,centre
133,0,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-13 08:48:11,1,centre
134,0,0,0,1,1,1,0,0,0,0,0,0,0,2025-06-13 08:48:12,1,centre
135,0,0,0,0,1,1,0,0,0,0,0,0,0,2025-06-13 08:48:13,1,centre
136,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-06-13 08:48:13,1,centre
137,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 08:48:14,1,centre
138,0,0,0,0,0,0,1,0,0,0,0,0,0,2025-06-13 08:48:18,1,centre
139,0,0,0,0,0,0,1,1,0,0,0,0,0,2025-06-13 08:48:18,1,centre
140,0,0,0,0,0,0,1,1,1,0,0,0,0,2025-06-13 08:48:19,1,centre
141,0,0,0,0,0,0,1,1,1,1,0,0,0,2025-06-13 08:48:20,1,centre
142,0,0,0,0,0,0,1,1,1,1,1,0,0,2025-06-13 08:48:21,1,centre
143,0,0,0,0,0,0,1,1,1,1,1,1,0,2025-06-13 08:48:21,1,centre
144,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 08:48:22,1,centre
145,0,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 08:49:25,1,left
146,0,0,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 08:49:26,1,left
147,0,0,0,0,1,1,1,1,1,1,1,1,1,2025-06-13 08:49:27,1,left
148,0,0,0,0,0,1,1,1,1,1,1,1,1,2025-06-13 08:49:27,1,left
149,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 08:49:28,1,left
150,1,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 08:50:25,1,left
151,1,1,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 08:50:25,1,left
152,1,1,0,1,0,0,1,1,1,1,1,1,1,2025-06-13 08:50:27,1,left
153,1,1,0,1,1,0,1,1,1,1,1,1,1,2025-06-13 08:50:28,1,left
154,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 08:50:28,1,left
155,0,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 09:07:38,1,right
156,0,0,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 09:07:39,1,right
157,0,0,0,0,1,1,1,1,1,1,1,1,1,2025-06-13 09:07:39,1,right
158,0,0,0,0,0,1,1,1,1,1,1,1,1,2025-06-13 09:07:40,1,right
159,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 09:07:41,1,right
160,1,1,0,1,1,1,1,1,1,1,1,1,0,2025-06-13 09:13:20,1,left
161,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 09:13:21,1,left
162,0,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 09:19:10,1,left
163,0,0,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 09:19:11,1,left
164,0,0,0,1,1,1,1,0,1,1,1,1,1,2025-06-13 09:19:11,1,left
165,0,0,0,1,1,1,1,0,1,0,1,1,1,2025-06-13 09:19:12,1,left
166,0,0,0,0,1,1,1,0,1,0,1,1,1,2025-06-13 09:19:12,1,left
167,0,0,0,0,0,1,1,0,1,0,1,1,1,2025-06-13 09:19:13,1,left
168,0,0,0,0,0,1,1,0,1,0,1,0,1,2025-06-13 09:19:13,1,left
169,0,0,0,0,0,0,1,0,1,0,1,0,1,2025-06-13 09:19:14,1,left
170,0,0,0,0,0,0,0,0,0,0,1,0,0,2025-06-13 09:19:56,2,left
171,0,0,0,0,0,0,0,0,0,0,1,0,1,2025-06-13 09:19:57,2,left
172,0,0,0,0,0,0,0,1,0,0,1,0,1,2025-06-13 09:20:00,2,left
173,0,0,0,0,0,0,0,1,0,1,1,0,1,2025-06-13 09:20:01,2,left
174,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-06-13 09:20:15,3,left
175,0,0,0,0,0,0,0,1,0,1,0,0,0,2025-06-13 09:20:16,3,left
176,0,0,0,0,0,0,0,1,0,1,0,1,0,2025-06-13 09:20:18,3,left
177,0,0,0,0,0,0,1,1,0,1,0,1,0,2025-06-13 09:20:19,3,left
178,0,0,0,0,0,0,1,0,0,0,0,0,0,2025-06-13 09:20:26,4,left
179,0,0,0,0,0,0,1,0,1,0,0,0,0,2025-06-13 09:20:27,4,left
180,0,0,0,0,0,0,1,0,1,0,1,0,0,2025-06-13 09:20:27,4,left
181,0,0,0,0,0,0,1,0,1,0,1,0,1,2025-06-13 09:20:28,4,left
182,0,0,0,0,0,0,0,0,1,0,1,0,1,2025-06-13 09:41:28,1,left
183,0,0,0,0,0,0,0,0,0,0,1,0,1,2025-06-13 09:41:29,1,left
184,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-13 09:41:30,1,left
185,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:41:31,1,left
186,0,0,0,0,0,0,0,1,1,1,1,1,1,2025-06-13 09:41:37,1,centre
187,0,0,0,0,0,0,0,0,1,1,1,1,1,2025-06-13 09:41:38,1,centre
188,0,0,0,0,0,0,0,0,0,1,1,1,1,2025-06-13 09:41:38,1,centre
189,0,0,0,0,0,0,0,0,0,0,1,1,1,2025-06-13 09:41:39,1,centre
190,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-06-13 09:41:39,1,centre
191,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-13 09:41:40,1,centre
192,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:41:40,1,centre
193,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-13 09:41:43,1,centre
194,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:41:44,1,centre
195,0,0,0,0,0,0,0,1,1,1,1,1,1,2025-06-13 09:41:49,1,right
196,0,0,0,0,0,0,0,0,1,1,1,1,1,2025-06-13 09:41:49,1,right
197,0,0,0,0,0,0,0,0,0,1,1,1,1,2025-06-13 09:41:50,1,right
198,0,0,0,0,0,0,0,0,0,0,1,1,1,2025-06-13 09:41:50,1,right
199,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-06-13 09:41:51,1,right
200,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-13 09:41:51,1,right
201,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:41:52,1,right
202,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:11,1,right
203,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:11,1,right
204,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:12,1,right
205,1,1,0,1,1,0,0,0,0,0,0,0,0,2025-06-13 09:42:13,1,right
206,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-13 09:42:13,1,right
207,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:16,1,centre
208,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:16,1,centre
209,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:17,1,centre
210,1,1,0,1,1,0,0,0,0,0,0,0,0,2025-06-13 09:42:18,1,centre
211,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-13 09:42:18,1,centre
212,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:20,1,left
213,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:20,1,left
214,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-13 09:42:21,1,left
215,1,1,0,1,1,0,0,0,0,0,0,0,0,2025-06-13 09:42:22,1,left
216,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-13 09:42:23,1,left
217,1,1,0,1,1,1,0,0,1,0,0,0,0,2025-06-13 10:04:05,1,left
218,1,1,0,1,1,1,0,0,1,0,0,0,1,2025-06-13 10:04:06,1,left
219,1,1,0,1,1,1,1,0,0,0,0,0,0,2025-06-13 11:48:12,1,centre
220,1,1,0,1,1,1,1,1,0,0,0,0,0,2025-06-13 11:48:13,1,centre
221,1,1,0,1,1,1,1,1,1,0,0,0,0,2025-06-13 11:48:14,1,centre
222,1,1,0,1,1,1,1,1,1,1,0,0,0,2025-06-13 11:48:15,1,centre
223,1,1,0,1,1,1,1,1,1,1,1,0,0,2025-06-13 11:48:15,1,centre
224,1,1,0,1,1,1,1,1,1,1,1,1,0,2025-06-13 11:48:16,1,centre
225,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 11:48:17,1,centre
226,1,1,0,1,1,1,1,0,1,1,1,1,1,2025-06-13 11:48:25,1,centre
227,1,1,0,1,1,1,1,0,0,1,1,1,1,2025-06-13 11:48:26,1,centre
228,1,1,0,1,1,1,1,0,0,1,0,1,1,2025-06-13 11:48:27,1,centre
229,1,1,0,1,1,1,1,0,0,1,0,0,1,2025-06-13 11:48:27,1,centre
230,1,1,0,1,1,1,1,0,0,1,0,0,0,2025-06-13 11:48:28,1,centre
231,0,1,0,1,1,1,1,0,0,1,0,0,0,2025-06-13 12:42:27,1,centre
232,0,0,0,1,1,1,1,0,0,1,0,0,0,2025-06-13 12:42:27,1,centre
233,0,0,0,0,1,1,1,0,0,1,0,0,0,2025-06-13 12:42:28,1,centre
234,0,0,0,0,0,1,1,0,0,1,0,0,0,2025-06-13 12:42:29,1,centre
235,0,0,0,0,0,0,1,0,0,1,0,0,0,2025-06-13 12:42:30,1,centre
236,0,0,0,0,0,0,1,0,0,1,0,0,1,2025-06-13 12:42:30,1,centre
237,0,0,0,0,0,0,1,0,0,1,0,1,1,2025-06-13 12:42:31,1,centre
238,0,0,0,0,0,0,1,0,0,1,1,1,1,2025-06-13 12:42:32,1,centre
239,0,0,0,0,0,0,1,0,1,1,1,1,1,2025-06-13 12:42:33,1,centre
240,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 12:42:33,1,centre
241,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 12:57:11,1,centre
242,0,0,0,0,0,0,0,1,1,1,1,1,1,2025-06-13 12:58:19,1,centre
243,0,0,0,0,0,0,0,0,1,1,1,1,1,2025-06-13 12:58:19,1,centre
244,0,0,0,0,0,0,0,0,0,1,1,1,1,2025-06-13 12:58:20,1,centre
245,0,0,0,0,0,0,0,0,0,0,1,1,1,2025-06-13 12:58:21,1,centre
246,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-06-13 12:58:21,1,centre
247,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-13 12:58:22,1,centre
248,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-13 12:58:23,1,centre
249,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-06-13 12:58:28,1,centre
250,0,0,0,0,0,0,0,1,0,1,0,0,0,2025-06-13 12:58:31,1,centre
251,0,0,0,0,0,0,0,1,0,1,0,1,0,2025-06-13 12:58:33,1,centre
252,1,0,0,0,0,0,0,1,0,1,0,1,0,2025-06-13 12:58:41,1,centre
253,1,0,0,1,0,0,0,1,0,1,0,1,0,2025-06-13 12:58:50,1,centre
254,1,0,0,0,0,0,0,1,0,1,0,1,0,2025-06-13 12:58:56,1,centre
255,1,0,0,0,0,0,0,1,0,1,0,1,1,2025-06-13 12:58:58,1,centre
256,1,0,0,0,0,0,0,1,0,1,1,1,1,2025-06-13 12:59:00,1,centre
257,1,0,0,0,0,0,1,1,0,1,1,1,1,2025-06-13 13:17:58,1,centre
258,1,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 13:17:59,1,centre
259,1,1,0,0,0,0,1,1,1,1,1,1,1,2025-06-13 13:17:59,1,centre
260,1,1,0,1,0,0,1,1,1,1,1,1,1,2025-06-13 13:18:00,1,centre
261,1,1,0,1,1,0,1,1,1,1,1,1,1,2025-06-13 13:18:01,1,centre
262,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-13 13:18:01,1,centre
263,1,1,0,1,1,1,0,1,1,1,1,1,1,2025-06-13 13:18:13,1,centre
264,1,1,0,1,1,1,0,0,1,1,1,1,1,2025-06-13 13:18:14,1,centre
265,1,1,0,1,1,1,0,0,0,1,1,1,1,2025-06-13 13:18:14,1,centre
266,1,1,0,1,1,1,0,0,0,1,0,1,1,2025-06-13 13:18:15,1,centre
267,1,1,0,1,1,1,0,0,0,1,0,0,1,2025-06-13 13:18:16,1,centre
268,1,1,0,1,1,1,0,0,0,1,0,0,0,2025-06-13 13:18:17,1,centre
269,1,1,0,1,1,1,0,0,0,0,0,0,1,2025-06-13 13:32:57,1,left
270,1,1,0,1,1,1,0,0,0,1,0,0,1,2025-06-13 13:32:57,1,left
271,1,1,0,1,1,1,0,0,0,1,0,0,0,2025-06-13 13:33:00,1,right
272,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-05 08:25:39,1,mega
273,1,0,0,0,0,0,1,0,0,0,0,0,0,2025-08-05 08:25:39,1,mega
274,1,0,0,0,0,0,1,1,0,0,0,0,0,2025-08-05 08:25:40,1,mega
275,1,1,0,0,0,0,1,1,0,0,0,0,0,2025-08-05 08:25:40,1,mega
276,1,1,0,0,0,0,1,1,1,0,0,0,0,2025-08-05 08:25:41,1,mega
277,1,1,0,0,0,0,1,1,1,1,0,0,0,2025-08-05 08:25:42,1,mega
278,1,1,0,1,0,0,1,1,1,1,0,0,0,2025-08-05 08:25:42,1,mega
279,1,1,0,1,0,0,1,1,1,1,1,0,0,2025-08-05 08:25:43,1,mega
280,1,1,0,1,1,0,1,1,1,1,1,0,0,2025-08-05 08:25:43,1,mega
281,1,1,0,1,1,0,1,1,1,1,1,1,0,2025-08-05 08:25:44,1,mega
282,1,1,0,1,1,1,1,1,1,1,1,1,0,2025-08-05 08:25:44,1,mega
283,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-08-05 08:25:45,1,mega
284,1,1,0,1,1,1,0,1,1,1,1,1,1,2025-08-05 08:52:13,1,mega
285,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-08-05 08:52:16,1,mega
286,0,1,0,1,1,1,1,1,1,1,1,1,1,2025-08-05 10:24:21,1,mega
287,0,0,0,1,1,1,1,1,1,1,1,1,1,2025-08-05 10:24:21,1,mega
288,0,0,0,0,1,1,1,1,1,1,1,1,1,2025-08-05 10:24:22,1,mega
289,0,0,0,0,0,1,1,1,1,1,1,1,1,2025-08-05 10:24:23,1,mega
290,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-08-05 10:24:23,1,mega
291,0,0,0,0,0,0,0,1,1,1,1,1,1,2025-08-05 10:24:28,1,mega
292,0,0,0,0,0,0,0,0,1,1,1,1,1,2025-08-05 10:24:29,1,mega
293,0,0,0,0,0,0,0,0,0,1,1,1,1,2025-08-05 10:24:29,1,mega
294,0,0,0,0,0,0,0,0,0,0,1,1,1,2025-08-05 10:24:30,1,mega
295,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-08-05 10:24:30,1,mega
296,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-08-05 10:24:31,1,mega
297,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-05 10:24:34,1,mega
298,0,0,0,0,0,0,0,0,0,0,0,1,0,2025-08-05 10:24:34,1,mega
299,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-08-05 10:24:38,1,mega
300,0,0,0,0,0,0,0,0,0,0,0,1,0,2025-08-05 10:24:40,1,mega
301,0,0,0,0,0,1,0,0,0,0,0,1,0,2025-08-05 10:24:40,1,mega
302,0,0,0,0,0,0,0,0,0,0,0,1,0,2025-08-05 10:24:48,1,mega
303,0,0,0,0,0,1,0,0,0,0,0,1,0,2025-08-05 10:24:49,1,mega
304,0,0,0,0,1,1,0,0,0,0,0,1,0,2025-08-05 10:24:52,1,mega
