participant_id,condition,updated_at,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,preset_id,param_other,param_influence,interference_notes,expectation_vs_outcome,condition_label,IntermedialityIndex
3483M,C,2026-01-06T16:02:36.030570+00:00,7,3,6,6,2,1,4,4,3,2,2,2,3483M_C_20260106_155603,,"['Neighbourhood (Local/Extended)', 'Loop On/Off', 'Scale']",,I enjoyed the looping rhythms both visually and in sound,Audio+Visual,5.833333333333333
3483M,A,2026-01-06T16:23:15.612402+00:00,7,6,6,6,4,2,4,6,4,3,6,3,3483M_A_20260106_161426,,"['Max Population', 'Neighbourhood (Local/Extended)', 'Scale']",,"I couldn't imagine what it would be like from looking at the light pattern but I liked the sound and the correlations. the nature-like patterns and the shift in feel when adding a new colour, then the chaos broke out but managed to regain composure by the end. ",Visual-only,5.833333333333333
4939Z,C,2026-01-06T19:01:05.884744+00:00,6,3,5,6,5,2,4,7,6,5,5,6,4939Z_C_20260106_184729,Set an initial set of parameters giving rhythmic pattern that felt the right proportion of 'busy' and then changed scale notes.,"['Max Population', 'Min Population', 'Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Scale']",There were moments (when reviewing the piece) when I was surprised by disonance in note tones despite colour combinations produced.,"The result was suprisingly interesting/mesmerising, I could feel my brain try to work out the pattern as well as surprise/'delight' as new patterns of chord tones and colour combinations emerged and changed throughout the piece. The colours on the video were not as easily discernable as when looking at the physical instrument. As I am a musician - my association felt more like light was accompanying the sound, although with longer exposure to the instrument this may change.",Audio+Visual,4.833333333333333
4939Z,A,2026-01-06T19:25:12.529143+00:00,3,2,5,5,6,2,3,5,3,5,7,2,4939Z_A_20260106_191240,,"['Max Population', 'Min Population', 'Rate', 'Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Scale']",Length of light activity was misleading for tone length which was shorter and did not match. ,"I expected the sound to be more dissonant than it was (i.e. a good matching between tones and light combinations - constructive intereference), this is probably related to the lights being kept on for longer than the associated sound was playing. At times (especially from the middle of the piece to the end) I did not find much association between light duration and note duration - destructive intereference.
The shared tonality was surprisingly consonant when colours where matched. When there were dissonant tones playing at the same time, it was more 'interesting' in the sound modality than in the lights modality (e.g. introduction of a green to predominantly purple/red colour combinations).

Overall, the creation of the piece this time was more intuition driven, and I was not 'thinking' about what would sound good given my background music theory knowledge.",Visual-only,3.8333333333333335
4939Z,B,2026-01-06T19:53:06.203242+00:00,6,5,6,6,3,6,3,6,2,7,1,6,4939Z_B_20260106_193739,,"['Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Life Length', 'Scale']","It felt like at times of low sound activity there were more lights active than expected, although as I said, this was a positive in this instance rather than a negative contributor to experiencing the piece. It was less clear why small changes in scale tones used led to large cascades in near-neighbour activation. Essentially it felt like a set of stable ('solid') states separated by high disorganisation in the states ('gas/liquid' states).","The light modality was more organised than I expected for the majority of the piece, revealing repeated spatial patterns when tones had more pleasing scale intervals. It felt like the pattern of light placements added an extra dimension/dynamicism to the piece, as they shifted between ordered spatially repeating patterns, separated by times of high activity/randomness that corresponded to dissonance and (at those times) overwhelming sound arrangements. 
The spatial extent of the light patterns (how many lights were active at any one time) were surprising given how few notes were playing (between shifts) - this actually added to the experience as one note playing activated multiple lights it created something more interesting to look at.",Audio-only,5.0
4069S,C,2026-01-07T11:55:55.038272+00:00,7,7,7,7,7,2,4,4,2,5,6,1,4069S_C_20260107_114624,,"['Rate', 'Loop On/Off', 'Scale']","No, however it is possible to witness properties and not understand where they come from or how to control them, within this time frame.","I found the the video review revealed more structures than I expected, particularly the light patterns. With only one minute I initially felt that I may not be able to record anything with typical music structure, however the video and sound did have more musical merit than I thought. This is satisflying as someone who does not consider themselves musical. The visual patterns help reveal the relationships between notes.",Audio+Visual,5.833333333333333
4069S,B,2026-01-07T12:12:49.647375+00:00,6,3,3,7,1,2,7,4,5,7,1,1,4069S_B_20260107_120428,,"['Rate', 'Scale']","No, it felt coherant. ","The outcome was more satisflying than I felt the recording and playing process went.
It felt harder to control the system using purely sound, I think this is because I am a more visual person, however the build up of sound, even if random was fun and on review had more structure than maybe I realised during the process of recording.
Due to the speed of the lights and output produced, it felt like the sounds and audio had more of an impact. However I felt less in control of the sound during the recording.",Audio-only,5.333333333333333
4069S,A,2026-01-07T12:28:30.549302+00:00,7,7,7,6,1,5,3,4,5,6,7,1,4069S_A_20260107_122146,,"['Max Population', 'Rate', 'Max Neighbours']",No.,"I expected to be able to have more control over the system, even without sound. I felt this was the case, it was quite clear to understand the impact of my choices and work towards my strategy. 
I don't think I had a strong idea to how the recording would sound and it did sound chaotic. This chaotic sound was satisfying, less because of any typical musical merit, but more the ability to control this.",Visual-only,6.166666666666667
6770L,A,2026-01-07T15:05:17.803827+00:00,5,2,5,4,1,1,3,1,5,3,7,2,6770L_A_20260107_145301,,"['Rate', 'Loop On/Off', 'Loop Length', 'Life Length']",because im new to the tool i dont feel that i can get frustrated with it doing or not doing what i want it to - my exectations of the tool are still forming ecasue im still learning ,"focused on the interface / controls more than the panels, which made the outcome surprising, specifically durations of the transitions and shifts felt slower - feel like i was controlling more on the interface that on the panel - in my head ther was more softness and fluidity beween the states of change between diminuendo and crescendo as thats what was happening on the interface, however the reality was quite different",Visual-only,5.0
6770L,B,2026-01-07T15:30:57.204060+00:00,7,7,7,6,1,1,6,7,6,4,1,7,6770L_B_20260107_152025,,"['Max Population', 'Rate', 'Loop On/Off', 'Loop Length', 'Life Length', 'Scale']",no,"i had no expecaton of what the visulas should be - but when i saw it it was so beautiful, in a way that i wasnt aware of the opposite way round (previous block visual to audio reveal) in focusing on the visuals i wasnt able to achieve waht i wanted, but focussing on the sound world i was abel to acheive what i wanted. hence the frustration - when the system didnt do what i wanted to do, it was not surprising that the visuals where also displeaseing at that moment.",Audio-only,6.833333333333333
6770L,C,2026-01-07T15:53:50.331995+00:00,4,7,7,7,1,1,4,4,5,5,7,7,6770L_C_20260107_154534,,"['Rate', 'Loop On/Off', 'Loop Length', 'Life Length', 'Scale']",no,"felt super locked into it - progression from audio to video to both. having no set idea of what i wanted to create, felt most creatively satisfied with this one, collaboration and acceptance of ewhat happened - th instrument was able to give me some ideas that were interesting, less latched on to my own creation and able to work along side the tool. something intersting about having created the the two modalities together - on the rewatch i wasnt looking out for mismatches tso could really lock into it  ",Audio+Visual,6.5
5747E,C,2026-01-09T15:23:34.107590+00:00,4,6,6,6,2,2,4,4,4,2,4,1,5747E_C_20260109_151543,,"['Rate', 'Life Length', 'Scale']","not really - would need to play it more, it might do, ","not particularly - at the beginning i thought it was a bit boring but when it got into the different notes and the speed i did rather like it - don't think i could reproduce it ever as its not in my head, not surre sure that i could identify it from a bunch of the other. i wanted to be able to get the ending to resonate and tail off more",Audio+Visual,5.666666666666667
7974C,B,2026-01-07T18:12:29.371521+00:00,5,2,4,5,3,2,1,5,6,3,2,1,7974C_B_20260107_175852,,"['Rate', 'Life Length', 'Scale']","THe visual display felt much more crowded but less chaotic  - more structure perhaps? I was surprised by the lines runnig across the deck, and at one point there was a visual walk around the deck that I did not expect and did not hear in the sound whilst it was happening.","The visuals had a greater range of dense to sparse, and a greater range of patterning than expected. It seems like there are more rules or instances of notes visually than aurally. The visuals felt more graspable than my recollection of my control of the sounds but this might be reflection vs action.",Audio-only,4.5
7974C,A,2026-01-07T18:47:12.018113+00:00,2,2,3,4,4,3,1,6,5,2,7,1,7974C_A_20260107_183124,,"['Rate', 'Life Length', 'Scale']","The visual pattern did not match any auditory chonchordancy / harmony in any way that I would have predicted - they patterns of visuals and audio seem very separate. In addition, the pure tone perhaps meant that I could not hear the full complex nature of the sound that was clearly present and visible - perhaps because different octaves of the same note starting at the same time sounded as one. I could hear flurries of consecutive notes and perhaps different notes that coincided. I would be very interested to hear the outcome if these notes were more distinguishable, and likely would produce a much less busy piece!",The business of the sound did not seem to match the pattern or crowqding of the visuals. A number of sparse visuals sounded as busy as a previously very active visual. The visual patterning seemed to match dischordant sounds. and in some cases vice versa - a pleasant sound matching no visual pattern. A big mismatch overall.,Visual-only,3.3333333333333335
7974C,C,2026-01-07T19:14:09.083073+00:00,6,2,6,2,4,2,4,4,6,2,7,5,7974C_C_20260107_190342,,"['Rate', 'Life Length', 'Scale']","I am beginning to see why having neighbouring notes available results in simple repeating patterns and also dischordant sounds, and why having more harmony constrains the visuals under some game of life conditions, something about having the notes far enough away from each other meaning they are poor / unrelated neighbours. I think if I had better music theory I would understand this differently.","Less obvious visual structure than I expected but a stronger match between what I planned and what happened, and I feel like I am beginning to see a different and less obvious visual structure and how that relates to the sounds/notes. The two modalities are starting to feel linked in a way I didn't experience before. I had some inkling of this while playing but could see some impacts more clearly and unexpectedly in the review.",Audio+Visual,4.333333333333333
5747E,A,2026-01-09T15:45:07.387908+00:00,6,5,5,5,2,2,4,7,1,4,5,1,5747E_A_20260109_153659,,"['Rate', 'Loop Length', 'Life Length']","I was quite suprised in how the sound/visual/speed fitted together, as I has no idea how it would sound when I was making it
","quite surprising - much better than i thought it would be - didnt have th urge to turn it off after 15seconds, the connection between the audio and visuals isnt in my head - i had no idea how it was going to turn out but still quite please with how turned out",Visual-only,5.5
5747E,B,2026-01-09T16:03:51.631122+00:00,3,2,5,4,4,2,4,6,2,4,2,1,5747E_B_20260109_155802,,"['Rate', 'Loop Length', 'Life Length']",I found the audio more interesting/coherent than the visuals,"No idea! On viewing, I felt the visuals were a bit sparse, but the sound was spacious
",Audio-only,4.0
