participant_id,condition,participant_id,condition,aim,strategy,expectation_vs_outcome,interference_notes,param_influence,param_other
4939Z,B,4939Z,B,Stability/clarity,I was aiming for finding pleasant melodies/harmonic movement by individual tones on and off together. I was not focusing on colour matching tones but instead relied on a mixture of trial and error and expectations of what tones would match based on music theory/harmony knowledge.,"The light modality was more organised than I expected for the majority of the piece, revealing repeated spatial patterns when tones had more pleasing scale intervals. It felt like the pattern of light placements added an extra dimension/dynamicism to the piece, as they shifted between ordered spatially repeating patterns, separated by times of high activity/randomness that corresponded to dissonance and (at those times) overwhelming sound arrangements. 
The spatial extent of the light patterns (how many lights were active at any one time) were surprising given how few notes were playing (between shifts) - this actually added to the experience as one note playing activated multiple lights it created something more interesting to look at.","It felt like at times of low sound activity there were more lights active than expected, although as I said, this was a positive in this instance rather than a negative contributor to experiencing the piece. It was less clear why small changes in scale tones used led to large cascades in near-neighbour activation. Essentially it felt like a set of stable ('solid') states separated by high disorganisation in the states ('gas/liquid' states).","['Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Life Length', 'Scale']",
4939Z,C,4939Z,C,Stability/clarity,"Find set of parameters that resulted in 'the right' amount of sounds being produced in a given interval
Initially start with a tone set that I thought would work (based on sounds). Change active tones by removing and adding nearby. During task I was influenced by which sounds to activate/deactivate based on the colour combinations being displayed - aiming for hue-similar colours to be simultaneously active.","The result was suprisingly interesting/mesmerising, I could feel my brain try to work out the pattern as well as surprise/'delight' as new patterns of chord tones and colour combinations emerged and changed throughout the piece. The colours on the video were not as easily discernable as when looking at the physical instrument. As I am a musician - my association felt more like light was accompanying the sound, although with longer exposure to the instrument this may change.",There were moments (when reviewing the piece) when I was surprised by disonance in note tones despite colour combinations produced.,"['Max Population', 'Min Population', 'Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Scale']",Set an initial set of parameters giving rhythmic pattern that felt the right proportion of 'busy' and then changed scale notes.
5220H,A,5220H,A,Complexity/energy,"I wanted to make it as light as possible to start then bring the light out. I really liked some of the more equal patterns that I/we created. I wanted to have another swing at it, I felt pressure to do something good in the alloted time, where as I didnt feel that in the practice and at the end I liked what I did. ","I thought it would sound a bit more chaotic and dissonant, I liked it. But it didn't sound like what I thought it would. I like the bits where I took all the lights out and brought them back in. It was more intense for me being able to hear the sound as well. it ended abuptly, given another chance I feel like i might be able to fade the lights out, but maybe not.",no,"['Rate', 'Max Neighbours', 'Life Length']",
5220H,B,5220H,B,Complexity/energy,"I didnt really have a plan kinda just wanted it to sound nice, I found it quick hard to get what was going on. defo felt somthing missing. I found it quite hard","It was better than I thought, seeing the visual maybe adds something to it. would have like to end it better, could hacve stopped a little earlier. Without the visuals i felt less in control ",no,"['Rate', 'Min Neighbours', 'Max Neighbours']",
5220H,C,5220H,C,A mix / unsure,I wanted it a bit dissonaty to start with and then more harmonic at the end then fade out. I made this up as i went along,"I well happyt with that, kinda felt like i was playing it more., For me sound outways visuals and I prefer to control them.",no,"['Rate', 'Life Length', 'Scale']",
5344J,A,5344J,A,A mix / unsure,I was trying to create a repating chaotic pattern ,Having watched the video i would do it differntly and inlcude miore light tones,,"['Rate', 'Min Neighbours', 'Max Neighbours']",
5344J,B,5344J,B,Stability/clarity,start with a slow tempo and build up to crecendo,There were less lights than I was expecting to see lit at once ,,"['Rate', 'Loop On/Off', 'Scale']",
5344J,C,5344J,C,Complexity/energy,aim was to build with culsters of light and tempo then reduce at intervals,,,"['Loop On/Off', 'Life Length', 'Scale']",
5747E,A,5747E,A,A mix / unsure,,"quite surprising - much better than i thought it would be - didnt have th urge to turn it off after 15seconds, the connection between the audio and visuals isnt in my head - i had no idea how it was going to turn out but still quite please with how turned out","I was quite suprised in how the sound/visual/speed fitted together, as I has no idea how it would sound when I was making it
","['Rate', 'Loop Length', 'Life Length']",
5747E,B,5747E,B,A mix / unsure,,"No idea! On viewing, I felt the visuals were a bit sparse, but the sound was spacious
",I found the audio more interesting/coherent than the visuals,"['Rate', 'Loop Length', 'Life Length']",
5747E,C,5747E,C,Stability/clarity,,"not particularly - at the beginning i thought it was a bit boring but when it got into the different notes and the speed i did rather like it - don't think i could reproduce it ever as its not in my head, not surre sure that i could identify it from a bunch of the other. i wanted to be able to get the ending to resonate and tail off more","not really - would need to play it more, it might do, ","['Rate', 'Life Length', 'Scale']",
6770L,A,6770L,A,,thinking about an arc - building a crescendo into chaos ,"focused on the interface / controls more than the panels, which made the outcome surprising, specifically durations of the transitions and shifts felt slower - feel like i was controlling more on the interface that on the panel - in my head ther was more softness and fluidity beween the states of change between diminuendo and crescendo as thats what was happening on the interface, however the reality was quite different",because im new to the tool i dont feel that i can get frustrated with it doing or not doing what i want it to - my exectations of the tool are still forming ecasue im still learning ,"['Rate', 'Loop On/Off', 'Loop Length', 'Life Length']",
6770L,B,6770L,B,,"a differnet game - brain shift not seeing any visuals - but didnt take long to adapt and get into the sounds world. as soon as the visuals wernt there i really did notice a shift in my engament comapered with audio and visual . really thinking about texture and desity, looping was fundamental, starting wth basic, empty loop, and allowing things to quite slowy become randomised to try and not let go of the loop, keeping it sparse, and then come back to another loop - musical container, some sense of predicatability, how would you make an audience feel safe in this sound - felt like a repetition is how that could be acheived.","i had no expecaton of what the visulas should be - but when i saw it it was so beautiful, in a way that i wasnt aware of the opposite way round (previous block visual to audio reveal) in focusing on the visuals i wasnt able to achieve waht i wanted, but focussing on the sound world i was abel to acheive what i wanted. hence the frustration - when the system didnt do what i wanted to do, it was not surprising that the visuals where also displeaseing at that moment.",no,"['Max Population', 'Rate', 'Loop On/Off', 'Loop Length', 'Life Length', 'Scale']",
6770L,C,6770L,C,,"felt more at ease in not having an artisitic plan - i also have a phrase in my head - there something like a collaboration working with the instrumennt, more acceptance, a level of curiosity not trying to control it as much, had to remind myself to keep looking at the visuals, but i have mush more of an affinity with sound and that felt obvious to me. found it really fun, noticing my personal preferneces and happy to lean in to them, , feeling like personal voice come through","felt super locked into it - progression from audio to video to both. having no set idea of what i wanted to create, felt most creatively satisfied with this one, collaboration and acceptance of ewhat happened - th instrument was able to give me some ideas that were interesting, less latched on to my own creation and able to work along side the tool. something intersting about having created the the two modalities together - on the rewatch i wasnt looking out for mismatches tso could really lock into it  ",no,"['Rate', 'Loop On/Off', 'Loop Length', 'Life Length', 'Scale']",
7974C,A,7974C,A,Stability/clarity,"I could see a relationship between s few chords and the visual patterns they made, and hoped to progress through these - vertical lines, down right diagonals, clusters of 5. Some attempt to change the pace in an arc.",The business of the sound did not seem to match the pattern or crowqding of the visuals. A number of sparse visuals sounded as busy as a previously very active visual. The visual patterning seemed to match dischordant sounds. and in some cases vice versa - a pleasant sound matching no visual pattern. A big mismatch overall.,"The visual pattern did not match any auditory chonchordancy / harmony in any way that I would have predicted - they patterns of visuals and audio seem very separate. In addition, the pure tone perhaps meant that I could not hear the full complex nature of the sound that was clearly present and visible - perhaps because different octaves of the same note starting at the same time sounded as one. I could hear flurries of consecutive notes and perhaps different notes that coincided. I would be very interested to hear the outcome if these notes were more distinguishable, and likely would produce a much less busy piece!","['Rate', 'Life Length', 'Scale']",
7974C,B,7974C,B,A mix / unsure,I aimed to draw from a longer/slower movement to something more frenetic then settle again. There appeared to be a two note combinations that produced scattershot bursts and I wanted to swap in and out of one.,"The visuals had a greater range of dense to sparse, and a greater range of patterning than expected. It seems like there are more rules or instances of notes visually than aurally. The visuals felt more graspable than my recollection of my control of the sounds but this might be reflection vs action.","THe visual display felt much more crowded but less chaotic  - more structure perhaps? I was surprised by the lines runnig across the deck, and at one point there was a visual walk around the deck that I did not expect and did not hear in the sound whilst it was happening.","['Rate', 'Life Length', 'Scale']",
7974C,C,7974C,C,Complexity/energy,"Aiming to oscillate between fullnes/complexity and simplicity/sparseness, but by different means - on one side using the life span / rate / neighbourhood rules, on the other side using the effect of harmonies and note availability.","Less obvious visual structure than I expected but a stronger match between what I planned and what happened, and I feel like I am beginning to see a different and less obvious visual structure and how that relates to the sounds/notes. The two modalities are starting to feel linked in a way I didn't experience before. I had some inkling of this while playing but could see some impacts more clearly and unexpectedly in the review.","I am beginning to see why having neighbouring notes available results in simple repeating patterns and also dischordant sounds, and why having more harmony constrains the visuals under some game of life conditions, something about having the notes far enough away from each other meaning they are poor / unrelated neighbours. I think if I had better music theory I would understand this differently.","['Rate', 'Life Length', 'Scale']",
